style_name,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Alcohol_ABV,Bitterness_IBU,Color_SRM
Ordinary Bitter,Gold to copper-colored,Chill haze is allowable at cold temperatures,Low to medium residual malt sweetness should be present,Very low to medium-low,Medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Low to medium,3.00%-4.20%,20-35,10-24
Special Bitter or Best Bitter,Deep gold to deep copper,Chill haze is acceptable at low temperatures,Medium residual malt sweetness should be present,Very low to medium at the brewer’s discretion,Medium and not harsh,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,4.20%-4.80%,28-40,12-28
Extra Special Bitter,Amber to deep copper,Chill haze is acceptable at low temperatures,Medium to medium-high,Medium to medium-high,Medium to medium-high,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. The overall impression is refreshing and thirst quenching. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,4.80%-5.80%,30-45,16-34
Scottish-Style Light Ale,Gold to light brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma may be present. A low to medium-low, soft and chewy caramel malt ﬂavor should be present.",Should not be present,Low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Low,2.80%-3.50%,9-20,12-30
Scottish-Style Heavy Ale,Amber to dark brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma is present. The style exhibits a medium degree of sweet malt and caramel. The overall impression is smooth and balanced.",Should not be present,Perceptible but low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Medium with a soft chewy character,3.50%-4.10%,12-20,16-60
Scottish-Style Export Ale,Medium amber to dark chestnut brown,Chill haze is acceptable at low temperatures,Sweet malt and caramel aromas and flavors define the character of a Scottish Export,Should not be present,Low to medium,"Fruity esters, if present, are low. Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions.",Medium,4.10%-5.30%,15-25,18-38
English-Style Summer Ale,Straw to gold,Chill haze is acceptable at low temperatures,Residual malt sweetness is low to medium. Torriﬁed or malted wheat is often used in quantities of 25 percent or less. Malt attributes such as biscuity or low levels of caramel are present.,"Low to medium, expressed as floral, herbal, earthy, stone fruit, citrus or other attributes. Hop ﬂavor should not be assertive and should be well balanced with malt character.",Medium-low to medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are low to medium. Diacetyl and DMS should not be present.",Low to medium-low,3.70%-5.10%,20-30,6-12
Classic English-Style Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Low to medium malt aroma and ﬂavor is present. Low caramel character is allowable.,"Medium-low to medium-high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes.",Medium-low to medium-high,Fruity esters are medium to medium-high. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,4.40%-5.30%,20-40,10-24
British-Style India Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Medium malt ﬂavor should be present,"Medium to high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes from high hopping rates.",Medium to high,"Fruity esters are medium to high. Traditional interpretations are characterized by medium to medium-high alcohol content. The use of water with high mineral content results in a crisp, dry beer with a subtle and balanced character of sulfur compounds. Diacetyl can be absent or may be present at very low levels.",Medium,4.50%-7.10%,35-63,12-28
Strong Ale,Amber to dark brown,Chill haze is acceptable at low temperatures,Medium to high malt and caramel sweetness. Very low levels of roast malt may be present.,Not present to very low,"Present but minimal, and balanced with malt ﬂavors.","Rich, often sweet and complex fruity ester attributes can contribute to the profile of Strong Ales. Alcohol types can be varied and complex. Diacetyl is usually absent in these beers but may be present at very low levels.",Medium to full,7.00%-11.30%,30-65,16-42
Old Ale,Copper-red to very dark,Chill haze is acceptable at low temperatures,Fruity esters can enhance and complement the malt aroma and ﬂavor proﬁle. Old Ales have malt and sometimes caramel sweetness.,Very low to medium,"Present but minimal, and balanced with malt flavors.","Fruity esters can contribute to the character of these beers. Alcohol types can be varied and complex. A distinctive quality of Old Ales is that they undergo an aging process, often for years. Aging can occur on their yeast either in bulk storage or through conditioning in the bottle. This contributes to a rich, wine-like, and often sweet, oxidized character. Complex estery attributes may also emerge. Diacetyl is usually absent in these beers but may be present at very low levels.",Medium to full,6.30%-9.10%,30-65,24-60
English-Style Pale Mild Ale,Light amber to medium amber,Chill haze is acceptable at low temperatures,Malt ﬂavor and aroma dominate the ﬂavor proﬁle,Very low to low,Very low to low,Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low.,Low to medium-low,3.40%-4.40%,10-20,12-18
English-Style Dark Mild Ale,Reddish-brown to very dark,Chill haze is acceptable at low temperatures,"Malt attributes such as caramel, licorice, roast or others may be present in aroma and flavor.",Very low,Very low to low,Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low.,Medium-low to medium,3.40%-4.40%,10-24,34-68
English-Style Brown Ale,Copper to dark brown,Chill haze is acceptable at low temperatures,Roast malt may contribute to a biscuit or toasted aroma proﬁle. Roast malt may contribute to the ﬂavor proﬁle. Malt profile can range from dry to sweet.,Very low,Very low to low,Low to medium-low level fruity esters are appropriate. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,4.20%-6.00%,12-25,24-48
Brown Porter,Dark brown to very dark. May have red tint.,"Beer color may be too dark to perceive clarity. When clarity is perceivable, chill haze is acceptable at low temperatures.",Low to medium malt sweetness. Caramel and chocolate attributes are acceptable. Strong roast barley or strong burnt or black malt character should not be present.,Very low to medium,Medium,Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.,Low to medium,4.40%-6.00%,20-30,40-70
Robust Porter,Very dark brown to black,Opaque,"Medium to medium-high. Malty sweetness, roast malt, cocoa and caramel should be in harmony with bitterness from dark malts.",Very low to medium,Medium to high,Fruity esters should be present and balanced with all other characters. Diacetyl should not be present.,Medium to full,5.10%-6.60%,25-40,60+
Sweet Stout or Cream Stout,Black,Opaque,"Medium to medium-high. Malt sweetness, chocolate and caramel should contribute to the aroma and should dominate the ﬂavor proﬁle. Roast ﬂavor may be present. Low to medium-low roasted malt-derived bitterness should be present.",Should not be present,Low to medium-low and serves to balance and suppress some of the sweetness without contributing apparent ﬂavor and aroma,"Fruity esters, if present, are low. Diacetyl should not be present.",Full-bodied. Body can be increased with the addition of milk sugar (lactose).,3.20%-6.30%,15-25,80+
Oatmeal Stout,Dark brown to black,"Beer color may be too dark to perceive. When clarity is perceivable, chill haze is acceptable at low temperatures.","Coffee, caramel, roasted malt, or chocolate aromas should be prominent. Roasted malt character of caramel or chocolate should be smooth without bitterness.","Optional, but if present should not upset the overall balance.",Medium,"Oatmeal is used in the grist, resulting in a pleasant, full ﬂavor without being grainy. Fruity esters are not present to very low. Diacetyl is usually absent in these beers but may be present at very low levels.",Full with an often-silky mouthfeel,3.80%-6.10%,20-40,40+
Scotch Ale or Wee Heavy,Light reddish-brown to very dark,Chill haze is acceptable at low temperatures,Scotch Ales are aggressively malty with a rich and dominant sweet malt aroma and ﬂavor. A caramel character is often part of the proﬁle. Dark roasted malt ﬂavors may be present at low levels.,Not present to very low,Not present to very low,"Fruity esters, if present, are generally at low levels. Diacetyl is usually absent in these beers but may be present at low levels.",Full,6.60%-8.50%,25-35,30-60
British-Style Imperial Stout,"Ranging from dark copper typical of some historic examples, to very dark more typical of contemporary examples","Opaque in darker versions. When clarity is perceivable, chill haze is acceptable at low temperatures.","Extremely rich malty ﬂavor, often expressed as toffee or caramel, and may be accompanied by very low roasted malt astringency.","Very low to medium, with ﬂoral, citrus or herbal qualities.",Medium and should not overwhelm the overall balance. The bitterness may be higher in darker versions while maintaining balance with sweet malt.,High alcohol content is evident. Fruity esters if present are medium to high. Diacetyl should not be present.,Full,7.00%-12.00%,45-65,40-70+
British-Style Barley Wine Ale,Tawny copper to deep red/copper-garnet,Chill haze is acceptable at low temperatures,Residual malty sweetness is high,Hop aroma and ﬂavor are very low to medium. English type hops are often used but are not required for this style.,Low to medium,Complexity of alcohols and fruity ester attributes are often high and balanced with the high alcohol content. Low levels of diacetyl are acceptable. Low carbonation is acceptable in this style.  Caramel and some oxidized character (vinous aromas or ﬂavors) may be considered positive attributes.,Full,8.50%-12.20%,40-65,22-72
Wood- and Barrel-Aged Beer,Varies with underlying style and can be influenced by the color of added fruit(s) if any,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Typical of underlying style of beer being aged,Varies with underlying style,varies,varies,varies
Irish-Style Red Ale,Copper-red to reddish-brown,Chill haze or yeast haze may be present at low levels,"Low to medium candy-like caramel malt sweetness should be present in ﬂavor. A toasted malt character should be present, and there may be a slight roast barley or roast malt presence.",Not present to medium,Medium,Low level fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,4.00%-4.80%,20-28,22-36
Classic Irish-Style Dry Stout,Black,Opaque,The prominence of coffee-like roasted barley and a moderate degree of roasted malt aroma and flavor deﬁnes much of the character. The hallmark dry-roasted attributes typical of Dry Stout result from the use of roasted barley. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish.,European hop character may range from not present to low in aroma and ﬂavor,Medium to medium-high,Fruity esters are low relative to malt and roasted barley as well as hop bitterness. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity may be present but is not required.,Medium-light to medium,4.10%-5.30%,30-40,80+
Export-Style Stout,Black,Opaque,Coffee-like roasted barley and roasted malt aromas are prominent. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish.,Low to medium-low,"May be analytically high, but the perception is lessened by malt sweetness.",Fruity esters are low. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity is acceptable.,Medium to full,5.60%-8.00%,30-60,80+
Golden or Blonde Ale,Straw to gold,Chill haze should not be present,"Low malt sweetness and toast, cereal-like or other pale malt attributes should be present in ﬂavor and aroma at low to medium-low levels.","Hop aroma and ﬂavor should be very low to medium, with attributes typical of hops of any origin present but not dominant.",Low to medium,Fruity esters may be present at low to medium-low levels. Diacetyl and DMS should not be present.,Low to medium with a crisp finish,4.10%-5.10%,15-25,6-14
Session India Pale Ale,Straw to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,A low to medium maltiness should be present in aroma and ﬂavor.,"Hop aroma and ﬂavor are medium to high, exhibiting a wide range of attributes. Overall hop character is assertive.",Medium to high,Fruity esters are low to medium. Diacetyl should not be present.,Low to medium,0.50%-5.00%,20-55,6-24
American-Style Amber/Red Ale,Amber to reddish-brown,Chill haze is acceptable at low temperatures,Medium-high to high maltiness with low to medium caramel character,"Low to medium-low, exhibiting a wide range of attributes",Medium to medium-high,"Fruity esters, if present, are low.",Medium to medium-high,4.40%-6.10%,25-45,16-36
American-Style Pale Ale,Straw to light amber,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Low caramel malt aroma is allowable. Low to medium maltiness may include low caramel malt character.,"High, exhibiting a wide range of attributes including ﬂoral, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, piney, resinous, and many others.",Medium to medium-high,Fruity esters may be low to high. Diacetyl should not be present.,Medium,4.40%-5.40%,30-50,8-14
Juicy or Hazy Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium-low malt aroma and flavor may be present,"Medium-high to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.",Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.,Medium-low to medium-high fruity esters are present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.,Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.,4.40%-5.40%,5-30,6-14
American-Style Strong Pale Ale,Pale to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Low caramel malt aroma is allowable. Low level maltiness may include low caramel malt character.,"High to very high, exhibiting a wide range of attributes including ﬂoral, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, piney, resinous, and many others.",High,Fruity esters may be low to high. Diacetyl should not be present.,Medium,5.60%-6.40%,40-50,6-16
Juicy or Hazy Strong Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium-low malt aroma and flavor may be present,"Medium-high to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.",Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.,Medium-low to medium-high fruity esters may be present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.,Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.,5.60%-6.40%,15-40,6-16
American-Style India Pale Ale,Pale to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Medium-low to medium intensity malt attributes are present in aroma and ﬂavor,"High to very high, exhibiting a wide range of attributes including ﬂoral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous, and many others.",Medium-high to very high,Fruity esters are low to high. Diacetyl and DMS should not be present.,Medium-low to medium,6.30%-7.50%,50-70,8-24
Juicy or Hazy India Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium-low malt aroma and flavor may be present,"High to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.",Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.,"Medium to medium-high fruity esters are present, and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.",Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.,6.30%-7.50%,20-50,6-14
American-Belgo-Style Ale,Gold to black,Should conform the base beer style,Typically low. Perception of specialty or roasted malts or barley can be very low to robust in darker versions.,"Medium to very high, exhibiting American-type hop aromas not usually found in traditional Belgian styles.","Medium to high, in alignment with base beer style.","Fruity esters are medium to high. Belgian yeast attributes such as banana, berry, apple, coriander, spice or smoky-phenolic should be in balance with malt and hops. Diacetyl, sulfur, and attributes typical of Brettanomyces should not be present.","Medium-low to medium, in alignment with base beer style.",varies,varies,
American-Style Brown Ale,Deep copper to very dark brown,Chill haze is acceptable at low temperatures,"Medium levels of roasted malt, caramel, and chocolate aromas and flavors should be present.",Medium-low to medium-high,Medium to high,Low to medium-low fruity esters may be present. Diacetyl should not be present.,Medium,4.20%-6.30%,30-45,30-52
American-Style Black Ale,Very dark to black,Opaque,Low to medium-low caramel malt and dark roasted malt aromas and ﬂavors are present. Astringency and burnt character of roast malt should be absent.,"Medium-high to high, with fruity, citrusy, piney, ﬂoral, herbal or other aromas derived from hops of all origins.",Medium-high to high,Fruity esters are low to medium. Diacetyl should not be present.,Medium,6.30%-7.60%,40-70,70+
American-Style Stout,Black,Opaque,"Coffee-like roasted barley and roasted malt aromas are prominent. Low to medium malt sweetness with any of caramel, chocolate, or roasted coffee attributes present at low to medium levels, with a distinct dry-roasted bitterness in the ﬁnish. Astringency from roasted malt and roasted barley is low. Slight roasted malt acidity is acceptable.","Medium to high, often with any of citrusy, resiny or other attributes typical of many American hop varieties.",Medium to high,Fruity esters are low. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium to full,5.70%-8.00%,35-60,80+
American-Style Imperial Porter,Black,Opaque,"No roast barley or strong burnt/black malt character should be present. Medium malt, caramel, and cocoa sweetness should be present.",Low to medium-high,Medium-low to medium,Fruity esters are present but not overpowering and should complement hop character and malt-derived sweetness. No diacetyl should not be present.,Full,7.00%-12.00%,35-50,80+
American-Style Imperial Stout,Black,Opaque,Extremely rich malty aroma is typical. Extremely rich malty ﬂavor with full sweet malt character is typical. Roasted malt astringency and bitterness can be moderate but should not dominate the overall character.,"Medium-high to high, exhibiting any of ﬂoral, citrus, herbal, or any other attributes typical of American hops.",Medium-high to very high and balanced with rich malt character.,Fruity esters are high. Diacetyl should not be present.,Full,7.00%-12.00%,50-80,80+
Double Hoppy Red Ale,Deep amber to dark copper/reddish-brown,Chill haze is acceptable at low temperatures,Medium to medium-high caramel malt character should be present in ﬂavor and aroma. Low to medium biscuit or toasted malt character may also be present.,"Hop aroma is high, derived from any variety of hops. Hop ﬂavor is high and balanced with other beer attributes.",High to very high,Alcohol content is medium to high. Complex alcohol ﬂavors may be present. Fruity esters are medium. Diacetyl should not be present.,Medium to full,6.10%-7.90%,45-80,20-34
Imperial Red Ale,Deep amber to dark copper/reddish-brown,Chill haze is acceptable at low temperatures,Medium to high caramel malt character is present in aroma and ﬂavor,"High, derived from any variety of hops. Hop ﬂavor is prominent and balanced with other beer attributes.",Very high,Very high alcohol is a hallmark of this style. Complex alcohol ﬂavors may be present. Fruity esters are medium. Diacetyl should not be present.,Full,8.00%-10.60%,55-85,20-34
American-Style Imperial or Double India Pale Ale,Straw to medium amber,Chill haze is acceptable at low temperatures. Haze created by dry hopping is allowable at any temperature.,Low to medium pale malt character is typical. Low pale caramel malt character may be present.,"High to intense, exhibiting a wide range of attributes including ﬂoral, piney, citrus, fruity (berry, tropical, stone fruit, and other), sulfur, diesel-like, onion-garlic, catty, resinous, and many others. Hop character should be fresh and evident, and should not be harsh.",Very high but not harsh,Alcohol content is medium-high to high and evident. Fruity esters are medium to high. Diacetyl should not be present.,Medium to full,7.60%-10.60%,65-100,4-14
Juicy or Hazy Imperial or Double India Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium malt aroma and flavor may be present,"High to intense, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.","Low to medium. The impression of bitterness is soft and well-integrated into overall balance, and may differ significantly from measured or calculated IBU levels.","Medium-high to high fruity esters are present, and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.",Medium to high. A silky or full mouthfeel may contribute to overall flavor profile.,7.60%-10.60%,30-80,4-14
American-Style Barley Wine Ale,Amber to deep red/copper-garnet,Chill haze is acceptable at low temperatures,"Caramel or toffee malt aroma attributes are often present. High residual malty sweetness, often exhibiting caramel or toffee attributes, should be present.","Medium to very high, exhibiting a wide range of attributes.",High,Complex alcohols are evident. Fruity esters are often high. Diacetyl is usually absent in these beers but may be present at very low levels.,Full,8.50%-12.20%,60-100,22-36
American-Style Wheat Wine Ale,Gold to black,Chill haze is acceptable at low temperatures,"Any of bready, wheat, honey or caramel malt aroma and flavor attributes are often present. High residual malt sweetness should be present.",Low to medium,Medium to medium-high,"Fruity esters are often high and balanced by a complexity of alcohols and high alcohol content. Diacetyl is usually absent in these beers but may be present at very low levels. Phenolic yeast character, sulfur, and DMS should not be present. Oxidized, stale, and aged attributes are not typical of this style.",Full,8.50%-12.20%,45-85,10+
Smoke Porter,Dark brown to black,Opaque,"Smoked porters will exhibit mild to assertive smoke malt aroma and flavor in balance with other aroma attributes. Black malt character can be present in some porters, while others may be absent of strong roast character. Roast barley character is absent to low depending on underlying porter style being smoked. Medium to high malt sweetness with caramel or chocolate flavor attributes is acceptable.",None to medium,Medium to medium-high,Low to medium fruity esters are acceptable,Medium to full,varies,varies,
American-Style Sour Ale,Pale to black,"Chill haze, bacteria, and yeast-induced haze is acceptable at any temperature.","Low. In darker versions, any of roasted malt, caramel, or chocolate aroma and flavor attributes should be present at low levels.",None to high,None to high,"Moderate to intense, yet balanced, fruity esters are present. Diacetyl, DMS, and Brettanomyces should not be present. The evolution of natural acidity at medium-low to high levels develops a balanced complexity and is expressed as a refreshing, pleasant sourness, in harmony with other attributes. The acidity present is usually in the form of lactic, acetic, and other organic acids naturally developed with acidiﬁed malt in the mash or in kettle or post wort fermentation and is produced by various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and attributes of age. Wood vessels may be used during the fermentation and aging process, but wood-derived ﬂavors such as vanillin should not be present. There should be no residual ﬂavors from liquids previously aged in a barrel such as bourbon or sherry.",Low to high,varies,varies,
American-Style Fruited Sour Ale,Can range from pale to black depending on underlying beer style and is often influenced by the color of added fruit,"Chill haze, bacteria, and yeast-induced haze is acceptable at any temperature.","Low. In darker versions, any of roasted malt, caramel, or chocolate aroma and flavor attributes should be present at low levels.",None to high,None to high and in balance with fruit character,"Moderate to intense, yet balanced, fruity esters are present. Diacetyl, DMS, and Brettanomyces should not be present. The evolution of natural acidity at medium-low to high levels develops a balanced complexity and is expressed as a refreshing, pleasant sourness, in harmony with other attributes. The acidity present is usually in the form of lactic, acetic, and other organic acids naturally developed with acidiﬁed malt in the mash or in kettle or post wort fermentation and is produced by various microorganisms, including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and attributes of age. Wood vessels may be used during the fermentation and aging process, but wood-derived ﬂavors such as vanillin should not be present. Attributes arising from liquids previously aged in a barrel, such as bourbon or sherry, should not be present.",Low to high,varies,varies,
West Coast-Style India Pale Ale,Straw to gold,Chill haze or hop haze is acceptable at low levels,Low to medium-low. Caramel or roasted malt character should not be present,"High to very high, exhibiting a wide range of attributes including floral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous and many others.","Medium-high to very high, but not harsh","Fruity esters range from low to medium. DMS, acetaldehyde, and diacetyl should not be present. These beers are characterized by a high degree of attenuation.",Low to medium,6.3-7.5,50-75,4-12
German-Style Koelsch,Straw to gold,Chill haze should not be present,Malt character is very low to low with soft sweetness. Caramel character should not be present.,"Low and, if present, should express noble hop character.",Medium to medium-high,"Fruity esters are absent to low, expressed as pear, apple, or wine-like attributes when present. Diacetyl should not be present.",Low to medium-low. Dry and crisp.,4.80%-5.30%,22-30,6-12
German-Style Altbier,Copper to dark brown,Clear to slightly hazy. Chill haze should not be present,A variety of malts contributes to medium-low to medium malt aroma and flavor. Toast aroma typical of Munich malts should be present. Slight nuttiness is acceptable. Roast malt character should be present at low levels and well-integrated with the overall malt profile. Smoke character should not be present.,"Low to medium with hop flavor more perceptible than aroma, with attributes typical of traditional German noble hops.","Medium to high, producing a clean dry finish. Forty-plus IBU is typical for Altbiers originating in Dusseldorf.","Fruity esters are absent to low, with attributes expressed subtly as citrus, pear, dark cherry or plum. A slight sulfur aroma is acceptable. Diacetyl should not be present.",Medium-low to medium.,4.60%-5.60%,25-52,22-38
