Color_SRM,Bitterness_IBU,Alcohol_ABV,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Fermentation Characteristics,Body,style_name
6-19,9-25,2.8-5.3%,Gold to Dark Chestnut or Brown,Clear,"Caramel, Toffee",Hop aroma and flavor are not perceived. Hop bitterness is low.,Diacetyl and sulfur are acceptable at very low levels.,Soft,Scottish-Style Ale
3-7,30-45,4.1-5.1%,Straw to Light Amber,Clear to Brilliant,"Toasted, biscuit-like, and/or bready malt flavors along with low levels of fermented-malt-derived sulfur compounds may be evident","Hop aroma and flavor are low to medium-low, deriving from noble-type hops. Hop bitterness is medium",Low levels of fermentation-derived sulfur compounds may be evident. Very low levels of diacetyl and DMS flavors may be perceived,Soft,Bohemian-Style Pilsener
15-26,25-45,4.2-6.3%,Deep Copper to Very Dark Brown,Clear,"Caramel, Chocolate, Toast",Hop aroma and flavor are low to medium. Hop bitterness is medium to high,Not common to style,Varies,American Brown Ale
15-30,25-35,6.2-8%,Light Reddish Brown to Very Dark,Clear,"Dominated by a smooth, balanced sweet maltiness. Will also have a medium degree of malty, caramel-like aroma and flavor",Hop aroma and flavor are not perceived. Hop bitterness is low but perceptible,Yeast characters such as diacetyl and sulfur are acceptable at very low levels,Mouth-Coating,Scotch Ale/Wee Heavy
Varies-Varies,Varies-Varies,Varies-Varies%,Varies,Varies,Varies,Varies,Can be present,Varies,Smoke Beer
39-40,50-80,7-12%,Black,Opaque,"Bittersweet Chocolate, Cocoa, Coffee","Hop aroma and flavor are medium-high to high, with floral, citrus and/or herbal hop aromas. Hop bitterness is medium-high to very high and balanced with the malt character",Not common to style,Mouth-Coating,American Imperial Stout
3-9,5-15,4.4-5.4%,Straw to Light Amber,Cloudy/ Hazy,Grainy,None,"Horsey, leathery or earthy flavors contributed by Brettanomyces yeasts may be evident but have a very low profile, as this beer is not excessively aged",Varies,Contemporary Gose
39-40,35-50,7-12%,Black,Opaque,"No roasted barley or strong burnt/black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness is present",Hop aroma and flavor are low to medium-high. Hop bitterness is medium-low to medium,Diacetyl should be absent,Mouth-Coating,American Imperial Porter
10-25,10-15,4.8-5.4%,Copper-Brown to Very Dark,Slight Haze to Hazy,"Bready or grainy, with a distinct sweet maltiness and a chocolate-like character from roasted malt",Hop aroma and flavor are not perceived. Hop bitterness is low,The phenolic flavors of Dunkel Weissbier should be evident but subdued,Moderate to Mouth-Coating,German-Style Dunkelweizen
3-7,15-25,4.1-5.1%,Straw to Light Amber,Brilliant to Slight Haze,"Light malt sweetness is present in the flavor. Bread, toast, biscuit and wheat flavors are common.","Hop aroma is low to medium-low, present but not dominant. Hop bitterness is low to medium-low.",Not common to style.,Soft,Blonde Ale
Varies,15-21,5.0-8.9%,Hued with color reflecting the choice of fruit,Varies,Sweet malt characters are not perceived,"Hop aroma, flavor and bitterness are not perceived to very low, and can include cheesy or floral lavender notes",Cloudiness is acceptable,Varies,Belgian-Style Fruit Lambic
12-25,5-18,4.8-6.6%,Copper to Very Dark,Brilliant to Slight Haze,Roasted malt aromas including a cocoa-like character are acceptable at low levels. A very low degree of malt sweetness may be present,"Hop aroma and flavor are not perceived. Hop bitterness is perceived to be very low to 
medium-low","Some versions may be more highly carbonated and, when bottle-conditioned, may appear cloudy when served",Varies,Belgian-Style Flanders
15-26,25-45,4.2-6.3%,Deep Copper to Very Dark Brown,Clear,"Caramel, Chocolate, Toast",Hop aroma and flavor are low to medium. Hop bitterness is medium to high,Not common to style,Varies,American Brown Ale
39-40,50-80,7-12%,Black,Opaque,"Bittersweet Chocolate, Cocoa, Coffee","Hop aroma and flavor are medium-high to high, with floral, citrus and/or herbal hop aromas. Hop bitterness is medium-high to very high and balanced with the malt character",Not common to style,Mouth-Coating,American Imperial Stout
Varies-Varies,1-100,2.5-25%,Varies,Varies,Varies,Varies,Can be present.,Varies,Specialty Beer
2-4,5-19,4.1-5.1%,Straw to Gold,Brilliant to Clear,Grainy,Low,N/A,Drying,American Lager
Varies-Varies,Varies-Varies,Varies-Varies%,Varies,Varies,Varies,Varies,Can be present,Varies,Smoke Beer
2-9,65-100,7.6-10.6%,Gold to Light Brown,Clear to Hazy,Malt character is medium to high,"Hop flavor and aroma are very high, should be fresh and lively and should not be harsh in quality, deriving from any variety of hops. Hop bitterness is very high but not harsh",Not common to style.,Mouth-Coating,Imperial India Pale Ale
39-40,35-40,7.6-9.3%,Very Deep Ruby or Garnet to Black,Clear to Opaque,"Distinctive malt aromas of caramelized sugars, licorice, and chocolate-like notes of roasted malts and dark sugars are present. Roasted dark malts sometimes contribute a coffee-like roasted barley aroma. Low smoky aroma from malt may be evident. Debittered roasted malts are best used for this style",Hop aroma and flavor are very low. Hop bitterness is low to medium-low,Diacetyl and DMS flavors should not be apparent,Mouth-Coating,Baltic-Style Porter
3-7,20-38,4.4-6.8%,Straw to Light Amber,Slight Haze,Malt flavor is low but provides foundation for the overall balance,Hop aroma is low to medium. Hop bitterness is medium to medium-high,"A small amount of sour or acidic flavor is acceptable when in balance with other components. These beers are often bottle-conditioned, with some yeast character and high carbonation",Soft,Belgian-Style Saison
8-20,25-50,7.2-11.2%,Amber to Dark Brown,Slight Haze,"Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness",Hop aroma and flavor are not perceived to very low. Hop bitterness is low to medium-low,Clove-like phenolic flavor and aroma should not be evident,Mouth-Coating,Belgian-Style Quadrupel
2-4,3-6,2.8-3.4%,Straw to Pale,Clear to Hazy,Not Perceived,Hop aroma and flavor are not perceived. Hop bitterness is not perceived to very low,Not common to style,Drying,Berliner-Style Weisse
6-12,20-30,4-6%,Gold to Copper,Clear,"Caramel, Toast",Hop aroma and flavor are low but noticeable; noble-type hops are commonly used. Hop bitterness is low but noticeable,Spicy,Moderate,Belgian-Style Pale Ale
16-36,20-35,6.3-7.6%,Brown to Very Dark,Clear to Slight Haze,"Chocolate, Caramel, Toast",Hop aroma and flavor are not perceived to low. Hop bitterness is medium-low to medium,Slight yeast haze is often evident when bottle-conditioned,Mouth-Coating,Belgian-Style Dubbel
6-14,30-50,4.4-5.4%,Deep Golden to Copper or Light Brown,Clear to Slight Haze,"Biscuit, Bready, Caramel","High, exhibiting ﬂoral, fruity, onion-garlic-, catty, citrusy, piney or resinous character associated with American-variety hops.Hop bitterness is medium to medium-high",Not common to style,Soft,American Pale Ale
5-15,45-85,8.5-12.2%,Gold to Light Brown,Slight Haze,"Bready, wheat, honey-like and/or caramel malt aromas are often present",Hop aroma and flavor are low to medium. Hop bitterness is medium to medium-high,Not common to style,Mouth-Coating,American-Style Wheat Wine Ale
25-30,22-30,3.8-4.9%,Very Dark Brown to Black,Clear,"Reminiscent of bitter chocolate or coffee. Malt sweetness is low to medium, and incorporates mild roasted malt character without the associated bitterness","Hop aroma and flavor are very low to low, deriving from noble-type hops. Hop bitterness is low to medium",Not common to style,Soft,German-Style Schwarzbier
6-14,30-50,4.4-5.4%,Deep Golden to Copper or Light Brown,Clear to Slight Haze,"Biscuit, Bready, Caramel","High, exhibiting ﬂoral, fruity, onion-garlic-, catty, citrusy, piney or resinous character associated with American-variety hops.Hop bitterness is medium to medium-high",Not common to style,Soft,American Pale Ale
3-10,20-50,7-11%,Pale to Copper,Clear,"These beers can be malty in overall impression, or dry and highly attenuated",Hop aroma and flavor are medium-low to medium-high. Hop bitterness is medium-low to medium-high,"Diacetyl should be very low, if evident",Soft,Belgian-Style Golden Strong Ale
12-16,22-28,4.5-5.5%,Copper to Reddish Brown,Brilliant to Clear,Aroma should have a notable degree of toasted and/or slightly roasted malt character. Malt flavor is slightly sweet,"Hop aroma, flavor and bitterness are very low to low",Not common to style,Soft,Vienna-Style Lager
34-38,50-70,6-7.5%,Very Dark to Black,Clear to Opaque,Medium caramel malt and dark roasted malt aromas are evident,"Hop aroma is medium-high to high, with hops of all origins contributing fruity, floral, herbal or other notes",Not common to style,Soft,American Black Ale
40-40,15-25,3-6%,Black,Opaque,"Malt sweetness, chocolate, and caramel should dominate the flavor profile. Malt bitterness is low to medium-low and derived from roasted malt or barley",Hop aroma and flavor are not perceived. Hop bitterness is low to medium-low and serves to balance and suppress some of the sweetness without contributing apparent flavor nor aroma,Not common to style,Mouth-Coating,English-Style Sweet Stout (Milk Stout)
12-30,30-65,6.3-9.1%,Copper-Red to Very Dark,Opaque,A malty and sometimes caramel-like sweetness may be evident.,Hop aroma and flavor are not perceived to medium. Hop bitterness is minimal but evident.,Diacetyl is acceptable at very low levels.,Moderate to Mouth-Coating,English-Style Old Ale
40-40,15-25,3-6%,Black,Opaque,"Malt sweetness, chocolate, and caramel should dominate the flavor profile. Malt bitterness is low to medium-low and derived from roasted malt or barley",Hop aroma and flavor are not perceived. Hop bitterness is low to medium-low and serves to balance and suppress some of the sweetness without contributing apparent flavor nor aroma,Not common to style,Mouth-Coating,English-Style Sweet Stout (Milk Stout)
6-13,9-23,5.0-8.9%,Gold to Medium Amber,Brilliant (but haze may exist from yeast sediment from bottle fermentation),Sweet malt characters are not perceived,"Hop aroma, flavor and bitterness are not perceived to very low, and can include cheesy or floral lavender notes","Characteristic horsey, goaty, leathery and phenolic aromas derived from Brettanomyces yeast are often present at moderate levels",Drying to Soft,Belgian-Style Lambic/Gueuze
39-40,35-50,7-12%,Black,Opaque,"No roasted barley or strong burnt/black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness is present",Hop aroma and flavor are low to medium-high. Hop bitterness is medium-low to medium,Diacetyl should be absent,Mouth-Coating,American Imperial Porter
3-9,10-15,4.9-5.6%,Straw to Amber,Hazy,Malt sweetness is very low to medium-low,Hop flavor is not perceived to very low. Hop bitterness is very low,Clove,Mouth-Coating,German-Style Hefeweizen
20-50,20-40,3.8-6%,Dark Brown to Black,Opaque,Coffee-like roasted barley and roasted malt aromas are prominent. Caramel-like and chocolate-like roasted malt aroma should be evident,"Hop aroma and flavor are optional, but should not overpower the overall balance if present. Hop bitterness is medium",Diacetyl should be absent or at extremely low levels,Mouth-Coating,English-Style Oatmeal Stout
4-7,15-30,6.3-7.9%,Pale to Light Amber,Clear to Brilliant,Malt aroma and flavor are low,Hop flavor and aroma are not perceived to low. Hop bitterness is very low to low,Spicy,Soft to Moderate,Belgian-Style Blonde Ale
4-5.5,18-25,4.8-5.6%,Pale to Gold,Clear to Brilliant,"Malt character is sometimes bread-like, yet always reminiscent of freshly and very lightly toasted malted barley","Hop aroma is not perceived to low. Hop flavor and bitterness are very low to low, deriving from European noble-type hops",Not common to style.,Moderate,German-Style Helles
4-7,20-45,7.1-10.1%,Pale to Pale Gold,Clear,Low sweetness from very pale malts is present,Hop aroma and flavor are not perceived to low. Hop bitterness is medium to medium-high,"Traditional tripels are bottle-conditioned and may exhibit slight yeast haze, but the yeast should not be intentionally roused",Soft to Mouth-Coating,Belgian-Style Tripel
19-20,20-40,5.1-8.9%,Dark Brown to Black,Varies,"Black malt character can be perceived in some porters, while others may be absent of strong roasted character. Medium to high malt sweetness, caramel and chocolate are acceptable",Hop aroma and flavor are not perceived to medium. Hop bitterness is medium to medium-high,Not  common to style,Soft,Smoke Porter
5-12,20-35,3-4.2%,Gold to Copper,Clear to Brilliant,Low to medium residual malt sweetness is present,Hop aroma may be evident at the brewer's discretion,Low-level diacetyl aromas and flavor are acceptable,Drying to Soft,English-Style Bitter
Varies,15-21,5.0-8.9%,Hued with color reflecting the choice of fruit,Varies,Sweet malt characters are not perceived,"Hop aroma, flavor and bitterness are not perceived to very low, and can include cheesy or floral lavender notes",Cloudiness is acceptable,Varies,Belgian-Style Fruit Lambic
4.5-30,15-35,7-9.5%,Gold to Very Dark,Hazy,"Nutmeg, vanilla, caramel, plums, prunes, raisins, grapes and cocoa, with rum and brandy flavors to boot. Medium malty sweetness is present. If dark, a mild roasted malt aroma and flavor should emerge",Hop aroma is not perceived. Hop bitterness is low,"If served with yeast, appearance may appropriately be very cloudy",Moderate to Mouth-Coating,German-Style Weizenbock
3-9,5-15,4.4-5.4%,Straw to Light Amber,Cloudy/ Hazy,Grainy,None,"Horsey, leathery or earthy flavors contributed by Brettanomyces yeasts may be evident but have a very low profile, as this beer is not excessively aged",Varies,Contemporary Gose
20-35,20-30,4.5-6%,Dark Brown (may have red tint) to Very Dark,Opaque,"Nutty, Chocolate, Caramel, Bready, Toffee",Hop aroma and flavor are not perceived to medium. Hop bitterness is medium,Not common to style,Mouth-Coating,English-Style Brown Porter
3-7,15-25,4.1-5.1%,Straw to Light Amber,Brilliant to Slight Haze,"Light malt sweetness is present in the flavor. Bread, toast, biscuit and wheat flavors are common.","Hop aroma is low to medium-low, present but not dominant. Hop bitterness is low to medium-low.",Not common to style.,Soft,Blonde Ale
3-9,10-15,4.9-5.6%,Straw to Amber,Hazy,Malt sweetness is very low to medium-low,Hop flavor is not perceived to very low. Hop bitterness is very low,Clove,Mouth-Coating,German-Style Hefeweizen
16-36,20-35,6.3-7.6%,Brown to Very Dark,Clear to Slight Haze,"Chocolate, Caramel, Toast",Hop aroma and flavor are not perceived to low. Hop bitterness is medium-low to medium,Slight yeast haze is often evident when bottle-conditioned,Mouth-Coating,Belgian-Style Dubbel
5-16,20-40,4.5-5.5%,Gold to Copper,Clear to Brilliant,Residual malt and defining sweetness is medium to medium-high,Hop flavor is medium to medium-high. Hop bitterness is medium to medium-high,Not common to style,Moderate,English-Style Pale Ale (ESB)
12-17,15-25,4-5.5%,Amber to Brown,Clear,"Balance ranges from dry to sweet maltiness. Roast malt tones of toffee, nuts and caramel sometimes contribute to the flavor profile",Hop aroma and flavor is very low. Hop bitterness is very low to low,"Diacetyl should be very low, if evident",Soft,English-Style Brown Ale
35-40,30-40,3.8-5%,Black,Clear to Opaque,Dry stouts achieve a dry-roasted character through the use of roasted barley. Initial malt and light caramel flavors give way to a distinctive dry-roasted bitterness in the finish. Emphasis of coffee-like roasted barley and a moderate degree of roasted malt flavors define much of the character,"Hop aroma and flavor are are not perceived to low, from European-type hops. Hop bitterness is medium to medium high","Diacetyl should be very low, if evident",Soft to Mouth-Coating,Irish-Style Dry Stout
40-45,35-60,5.7-8.9%,Black,Clear to Opaque,"Low to medium malt sweetness with low to medium caramel, chocolate, and/or roasted coffee flavor is present, with a distinctive dry-roasted bitterness in the finish. The contribution of roasted barley and roasted malt to astringency is low and not excessive. Slight roasted malt acidity is acceptable","Hop aroma and flavor are medium to high, often with American citrus-type and/or resiny hop aromas. Hop bitterness is medium to high",Not common to style,Mouth-Coating,American Stout
11-18,60-100,8.5-12.2%,Amber to Deep Red or Copper-Garnet,Clear to Brilliant,"Caramel, Toffee, Bready, Sweet","Hop aroma and flavor are medium to very high. Hop bitterness is high. American-type hops are often used, but not necessary for this style",Very low levels of diacetyl may be acceptable,Mouth-Coating to Sticky,American Barley Wine
39-40,50-80,7-12%,Black,Opaque,"Bittersweet Chocolate, Cocoa, Coffee","Hop aroma and flavor are medium-high to high, with floral, citrus and/or herbal hop aromas. Hop bitterness is medium-high to very high and balanced with the malt character",Not common to style,Mouth-Coating,American Imperial Stout
12-30,17-27,6.6-7.9%,Copper to Dark Brown,Clear,Pronounced aromas and flavors of toasted malted barley. Some caramel and toffee character can contribute to complexity in a secondary role. Dark fruit flavors such as prune and raisin may be present. Malty sweetness is pronounced but should not be cloying. There should be no astringency from roasted malts.,Hop aroma should be absent. Hop flavor and bitterness are low,Not common to style,Soft,German-Style Doppelbock
8-15,35-45,4.6-5.7%,Light Amber to Medium Amber,Clear,Noticeable caramel-type malt flavor should be present,"Hop flavor is low to medium-low and may present as Woody, Rustic, or Minty. Hop bitterness is medium to medium-high",Not common to style,Drying,California Common
5-12,20-35,3-4.2%,Gold to Copper,Clear to Brilliant,Low to medium residual malt sweetness is present,Hop aroma may be evident at the brewer's discretion,Low-level diacetyl aromas and flavor are acceptable,Drying to Soft,English-Style Bitter
3-7,20-38,4.4-6.8%,Straw to Light Amber,Slight Haze,Malt flavor is low but provides foundation for the overall balance,Hop aroma is low to medium. Hop bitterness is medium to medium-high,"A small amount of sour or acidic flavor is acceptable when in balance with other components. These beers are often bottle-conditioned, with some yeast character and high carbonation",Soft,Belgian-Style Saison
35-40,30-40,3.8-5%,Black,Clear to Opaque,Dry stouts achieve a dry-roasted character through the use of roasted barley. Initial malt and light caramel flavors give way to a distinctive dry-roasted bitterness in the finish. Emphasis of coffee-like roasted barley and a moderate degree of roasted malt flavors define much of the character,"Hop aroma and flavor are are not perceived to low, from European-type hops. Hop bitterness is medium to medium high","Diacetyl should be very low, if evident",Soft to Mouth-Coating,Irish-Style Dry Stout
2-5,10-22,4.3-5.7%,Straw to Gold,Brilliant,"The dominant flavor is of pale malt sweetness at medium-low to medium levels. Caramel malt attributes should be absent. ","Hop aroma is usually absent, and hop flavor is very low to low. Hop bitterness is very low to low",Fermentation-derived sulfur character and/or DMS flavor should be extremely low or absent from this style of beer. Diacetyl flavor should not be perceived,Soft,American Cream Ale
1-40,Varies-Varies,Varies-Varies%,Inclusion of rye can create a wide range of color. Lighter versions: Straw to Copper. Darker versions: Dark Amber to Dark Brown,Varies,"In darker versions, malt aromas can optionally include low roasted malt characters evident as cocoa/chocolate or caramel, and/or aromatic toffee-like, caramel, or biscuit-like characters",Hop flavor and aroma are low to medium-high. Hop bitterness is low to medium,"In versions served with yeast, appearance may range from hazy to very cloudy",Varies,Rye Beer
20-50,20-40,3.8-6%,Dark Brown to Black,Opaque,Coffee-like roasted barley and roasted malt aromas are prominent. Caramel-like and chocolate-like roasted malt aroma should be evident,"Hop aroma and flavor are optional, but should not overpower the overall balance if present. Hop bitterness is medium",Diacetyl should be absent or at extremely low levels,Mouth-Coating,English-Style Oatmeal Stout
15-30,25-35,6.2-8%,Light Reddish Brown to Very Dark,Clear,"Dominated by a smooth, balanced sweet maltiness. Will also have a medium degree of malty, caramel-like aroma and flavor",Hop aroma and flavor are not perceived. Hop bitterness is low but perceptible,Yeast characters such as diacetyl and sulfur are acceptable at very low levels,Mouth-Coating,Scotch Ale/Wee Heavy
5-16,20-40,4.5-5.5%,Gold to Copper,Clear to Brilliant,Residual malt and defining sweetness is medium to medium-high,Hop flavor is medium to medium-high. Hop bitterness is medium to medium-high,Not common to style,Moderate,English-Style Pale Ale (ESB)
20-30,20-30,6.3-7.5%,Dark Brown to Very Dark,Clear,"High malt character with aromas of toasted or nut-like malt, but not caramel","Hop flavor is low. Hop bitterness is perceived as medium, increasing proportionately with starting gravity",Not common to style.,Soft,German-Style Bock
